AME : levi50_1
COMMENT : 50-city problem (levikoppenhol)
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 485 819
2 242 222
3 328 956
4 659 913
5 296 572
6 227 762
7 919 436
8 635 575
9 872 468
10 615 946
11 84 158
12 409 805
13 737 27
14 939 858
15 569 467
16 18 547
17 404 807
18 902 333
19 164 161
20 783 200
21 396 651
22 991 494
23 814 165
24 710 479
25 522 724
26 146 217
27 661 361
28 888 142
29 124 595
30 745 85
31 255 110
32 62 820
33 767 906
34 448 204
35 609 600
36 887 112
37 166 457
38 23 305
39 173 4
40 655 122
41 551 627
42 131 97
43 992 411
44 505 508
45 834 723
46 97 118
47 216 934
48 457 477
49 674 585
50 402 713
EOF
