AME : levi50_2
COMMENT : 50-city problem (levikoppenhol)
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 235 149
2 389 370
3 142 126
4 100 539
5 159 946
6 672 821
7 476 884
8 553 394
9 32 998
10 485 77
11 130 711
12 699 565
13 330 688
14 771 557
15 870 483
16 332 342
17 210 374
18 295 247
19 892 35
20 429 88
21 464 820
22 853 642
23 171 743
24 322 401
25 312 306
26 719 234
27 699 894
28 588 100
29 856 847
30 763 461
31 880 654
32 207 434
33 221 595
34 765 692
35 309 32
36 279 56
37 710 299
38 716 45
39 139 907
40 812 133
41 826 158
42 828 604
43 38 185
44 816 831
45 250 236
46 61 490
47 744 8
48 393 431
49 416 194
50 969 940
EOF
