AME : levi50_3
COMMENT : 50-city problem (levikoppenhol)
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 280 647
2 878 747
3 33 888
4 323 368
5 102 970
6 79 137
7 345 103
8 575 499
9 936 979
10 263 337
11 353 725
12 330 119
13 673 872
14 164 197
15 399 808
16 462 445
17 993 99
18 753 167
19 332 301
20 441 244
21 787 523
22 879 555
23 516 77
24 446 741
25 559 687
26 490 220
27 827 639
28 136 302
29 396 262
30 766 680
31 321 722
32 638 532
33 723 542
34 92 230
35 30 248
36 649 274
37 780 678
38 771 838
39 442 335
40 880 12
41 333 818
42 468 210
43 165 354
44 795 858
45 480 746
46 410 366
47 178 582
48 750 678
49 215 431
50 741 514
EOF
