AME : levi50_5
COMMENT : 50-city problem (levikoppenhol)
TYPE : TSP
DIMENSION : 50
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 349 298
2 961 301
3 498 648
4 420 195
5 915 837
6 988 357
7 450 88
8 864 411
9 212 944
10 405 172
11 183 510
12 365 153
13 384 300
14 817 985
15 468 395
16 317 530
17 54 483
18 425 662
19 643 615
20 573 460
21 23 537
22 674 58
23 767 873
24 764 253
25 346 908
26 232 881
27 156 855
28 223 675
29 520 827
30 99 150
31 549 683
32 90 474
33 129 452
34 303 154
35 442 265
36 316 152
37 787 820
38 350 577
39 803 545
40 176 853
41 354 563
42 376 816
43 932 288
44 924 984
45 890 187
46 565 238
47 849 576
48 203 87
49 717 229
50 432 830
EOF
